Lower,Upper,Obs
1.0804701,1.6644732,1.2619181
0.79907936,1.81715,1.2360591
1.0770597,1.7409252,1.1843411
2.3121562,3.226719,2.4152284
1.6843408,2.479554,1.7325513
0.26100394,0.51743245,0.20687181
1.3520687,2.0936694,1.7015206
0.009910155,0.16212735,0.01034359
0.45783022,0.9583833,0.72922313
1.3085809,2.6489067,2.022172
0.36931938,0.7188448,0.5378667
0.40440834,0.9130523,0.6516462
0.53362453,1.1834174,1.0447026
0.5961185,1.1044993,0.77059746
0.6935598,1.1196771,0.9671257
0.62738794,1.3067266,1.463618
1.810614,2.4940057,2.1359513
0.18866888,0.8955203,0.68784875
0.3751368,1.5180488,0.35168207
-0.0006214753,0.1321753,0.02068718
0.0043777823,0.17512691,0.103435904
2.0302863,2.9621046,2.3273077
0.24631388,0.7413329,0.70336413
0.05874931,0.2762372,0.103435904
0.028022638,0.27559713,0.16032565
0.18105875,0.79240924,0.54821026
0.03071933,0.61470944,0.25341797
1.1343086,1.845934,1.4998206
0.42100716,0.90060246,0.7654257
0.4790182,1.2137655,0.6257872
0.87551886,2.428402,2.3014488
0.0028947853,0.13037053,0.07240513
1.851356,3.0231311,2.6221
1.0274457,1.646587,1.2929487
0.24345289,0.85704315,0.4240872
0.53422046,1.1156658,0.7912847
0.87378705,2.117222,1.9497668
0.76634824,1.352996,0.85334617
2.3718002,3.5200956,2.9220643
0.15454522,0.5295356,0.38788465
1.4181802,2.1417167,1.6498027
0.016995117,0.23092866,0.036202565
1.1998484,1.8921475,1.6704898
0.010646705,0.118834764,0.005171795
0.36330897,0.87667215,0.5585539
0.003956042,0.12125707,0.01034359
1.1042105,1.7172027,1.1481385
0.23502448,0.7188725,0.43960258
1.0710808,1.7659438,1.2774334
0.43576545,0.8657273,0.7757693
0.24669576,0.5890481,0.43443078
0.018528478,0.23181179,0.025858976
1.4362924,2.3687956,1.867018
0.026342371,0.20437795,0.02068718
1.1732973,2.2228956,1.3705257
0.4725057,1.0403097,0.92057955
0.0017319992,0.107316256,0.01034359
1.4141301,2.2901983,1.7273796
0.9183811,1.5372651,1.0964205
0.31443477,1.0976346,1.6187719
2.4059055,3.4283228,3.5478516
0.0069838203,0.15789169,0.03103077
0.17006439,0.4340535,0.22755899
1.2940465,2.110757,1.463618
0.003747914,0.16287619,0.01034359
0.0074691363,0.096493095,0.03103077
