Lower,Upper,Obs
-0.0015796598,1.1831359,0.13752887
-0.00046325003,0.1977688,0.0
-0.0029652668,0.41793177,0.0
7.137604e-05,0.19675413,0.0
-0.0010189811,0.22946647,0.0
-0.0018716125,0.16405734,0.0
-0.0005287785,0.15275374,0.0
0.0006062571,0.27199972,0.0
-0.0029799575,0.15833306,0.0
1.4277867,9.864422,2.7505772
0.026943358,1.6261287,0.13752887
-0.0009383446,0.9923811,0.55011547
0.4306992,3.650145,1.9254041
0.28598675,3.4241757,1.1002309
-0.0014917445,0.24848875,0.27505773
-0.0008691165,0.17907909,0.0
0.20104873,4.332227,2.7505772
-0.00032139965,0.17752174,0.0
-0.00020990259,0.12383643,0.0
0.0042450246,1.1650493,0.13752887
-1.5592668e-06,0.15140978,0.0
7.7538247,33.871815,25.855425
-0.00126612,0.44639885,0.0
-0.0008122836,0.19678599,0.0
-0.0017833647,0.29908246,0.0
0.10916437,2.2606182,1.3752886
0.0012858731,1.095866,0.55011547
0.11698861,3.054843,0.6876443
0.002231664,0.58607805,0.13752887
-0.0019197385,0.23674646,0.0
-0.0072773327,0.4362307,0.0
-0.00053012284,1.5148413,0.27505773
-0.009220489,0.80245554,0.0
-0.023391262,2.178403,0.0
-0.0007276626,0.19974482,0.0
0.013899303,1.293349,0.0
0.0007921868,0.6832392,0.0
-0.0014038995,0.23597434,0.0
0.09000845,5.6365805,4.125866
-0.0011764988,0.27633786,0.0
-0.017738625,1.7638273,0.0
-0.0011789522,0.19599485,0.0
-0.0011662962,0.29557657,0.0
-0.0018541245,0.2941175,0.13752887
0.07198379,6.500012,4.81351
-0.0002593071,0.18697935,0.0
0.008171471,2.2463357,0.0
-0.0005416497,0.19977945,0.0
-0.0013627452,0.36308855,0.0
-0.001912911,0.655579,0.13752887
-0.00038940547,0.14432171,0.0
1.0952737,5.648553,2.7505772
0.0027576042,2.6756768,0.82517314
-0.0016726535,0.4708651,0.0
-0.0072143064,1.2099985,0.13752887
-0.002200903,0.25162694,0.0
-0.0017594793,0.3903578,0.0
-0.0012232091,0.25750837,0.0
-0.005014115,0.7483905,0.13752887
-0.00038438407,0.18301561,0.0
-0.00063321093,0.13919148,0.0
-0.0009915768,0.1965903,0.13752887
0.2066487,3.2539978,2.4755194
0.1441573,3.4439592,0.6876443
-0.00052238384,0.21142277,0.0
-0.0008519925,0.15351698,0.0
-0.00091595715,0.13536891,0.0
-0.0012021781,0.34509623,0.0
0.865332,5.131048,1.5128175
0.15295905,2.402803,2.2004619
-0.0002719303,1.3133963,0.0
0.0006147644,0.57584053,0.0
45.506165,136.23979,59.274937
-0.0005573962,0.17519754,0.0
-0.0010873927,0.2541164,0.13752887
-0.0004921598,0.112562805,0.0
-0.003571365,0.67052984,0.55011547
5.2142844,31.990189,12.927712
-0.0012301673,0.28592643,0.0
2.8724504,28.268093,11.827482
-0.012233445,0.6705781,0.13752887
-0.0017457078,0.43270385,0.27505773
-0.0018543535,0.29494178,0.0
-0.00085347006,0.24392259,0.13752887
0.0047481507,2.016686,0.6876443
0.00056577066,0.19625488,0.0
-0.00045762822,0.14434451,0.0
0.161473,3.2107,0.82517314
-0.0029839328,0.24675897,0.0
-0.008533658,0.5412532,0.0
0.058612317,1.4917401,0.55011547
-0.0020453127,0.4932265,0.13752887
-0.00017115613,0.1685434,0.0
4.649229,15.312366,22.96732
-0.0012442938,0.2039431,0.0
-0.0008906912,0.17624727,0.0
-0.00076334307,0.16875786,0.0
-0.0018364069,0.26798558,0.0
1.8647331,8.426125,1.7878752
0.041349363,1.39733,0.82517314
-0.00076778105,0.21331456,0.13752887
0.0018056046,1.2115958,0.13752887
-0.00089548685,0.15141776,0.0
-7.186143e-06,0.17755935,0.0
-0.00036804023,0.1597192,0.0
-0.002254352,0.24233031,0.0
-0.000622026,0.13219178,0.0
