Lower,Upper,Obs
0.9109547,1.1310376,1.0921077
0.9233806,1.1376352,0.9774308
0.95567906,1.1789014,0.9482038
0.8959835,1.0859759,1.0075502
0.91261876,1.1163988,0.9948331
0.9186779,1.0984298,1.009112
0.8799276,1.0666546,0.9049211
0.95735586,1.1618023,0.98256224
0.8999959,1.0966804,0.95021176
0.90780777,1.0919077,1.01759
0.94091785,1.1641529,0.92879355
0.9104248,1.0899296,0.9642675
0.9048567,1.1198876,0.9544508
0.885332,1.0661684,0.96248263
0.9083131,1.0987713,0.97653836
0.9010927,1.0857913,0.96538305
0.8969592,1.0735819,1.0240601
0.9041343,1.0940986,1.0066578
0.89084256,1.0786638,1.0903229
0.8761008,1.0350212,0.9145147
0.91280586,1.1069238,1.0497174
0.93643546,1.138883,1.0604265
0.92250144,1.1142528,1.1086175
0.9282104,1.143203,1.036331
0.8724762,1.0348885,1.0552951
0.90176463,1.0814366,0.95043486
0.90063304,1.1048381,0.91272986
0.88404715,1.0640016,0.94865006
0.880317,1.0683517,1.009112
0.93154657,1.1478455,1.0552951
0.91702396,1.1229689,1.0307534
0.9362361,1.1332132,1.1164263
0.9467546,1.1587868,1.1106255
0.92510116,1.1379018,0.96047467
0.8796109,1.1067452,0.96225953
0.9419489,1.1477723,1.1119642
0.9337014,1.133426,1.074036
0.90073943,1.0753684,0.92990905
0.92329705,1.139108,1.1208885
0.85131115,1.0177288,0.9145147
0.93468827,1.1496055,1.0564106
0.9233241,1.13663,1.0184824
0.93637645,1.1191959,0.969399
0.9242576,1.1251967,0.93526363
0.9095571,1.1134586,1.0365541
0.92771024,1.138171,1.009112
0.89099526,1.0596915,0.9435186
0.90692806,1.1180009,0.9689528
0.92448723,1.1308546,1.0079964
0.93540514,1.1213254,1.0586417
0.8933979,1.0843625,1.0666735
0.89867204,1.069095,0.9805543
0.90275025,1.1002669,0.9479807
0.89473325,1.1062367,1.0046499
0.90509295,1.1137569,1.021606
0.89572775,1.0828906,1.1025937
0.90487695,1.0958953,1.0486019
0.90614897,1.1150931,0.94463414
0.9463528,1.1678758,1.0461477
0.89390916,1.084931,0.92366207
0.9155482,1.1263442,1.0490481
0.9118943,1.0976393,0.90916014
0.9338981,1.141222,0.97073764
0.89583206,1.0883694,0.9310246
0.9227843,1.129267,1.1206653
0.92601514,1.113544,1.0387852
0.9024364,1.0888828,1.0771595
0.99620163,1.170876,1.01112
0.87093955,1.0279832,0.92879355
0.96203256,1.1449091,1.0124586
0.89037514,1.0845813,1.0287454
0.9026886,1.0860841,1.0352155
0.92927086,1.121344,0.9343712
0.9083784,1.0977962,1.0108968
0.91793513,1.1160227,1.0416856
0.9481883,1.1729082,1.0158051
0.8905805,1.100827,1.0039805
0.89522076,1.0950061,1.0294147
0.900499,1.0972793,0.931917
0.8675566,1.0809817,0.904698
0.90759766,1.115082,1.0660042
0.8968686,1.0841118,1.0332075
0.92218256,1.1383231,1.0994703
0.9568745,1.17305,1.0521716
0.87892115,1.0690992,0.93548673
0.8957789,1.0910099,1.0483788
0.9504007,1.1727309,0.95980537
0.91336274,1.0960035,0.94017196
0.91946435,1.1339214,0.9937176
0.92283666,1.1386675,0.9680603
0.955395,1.1630541,1.0106738
0.8774987,1.0502999,0.984124
0.9161817,1.1151098,0.9961718
0.9312705,1.1416947,0.99104035
